                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.73102,                0.49091,                0.94771,                0.86772,                0.77778,                 0.8003,                0.38841,                 1.7841,                0.96512,                 1.7313,               0.008383,               0.008383,               0.008383
                     51,                0.72959,                0.47442,                0.95332,                0.82786,                0.74603,                0.80943,                0.40055,                 1.8088,                0.88299,                 1.8729,                0.00835,                0.00835,                0.00835
                     52,                0.72119,                0.48136,                0.94564,                 0.8643,                0.80881,                0.82268,                0.41431,                  1.751,                0.88319,                 1.7082,               0.008317,               0.008317,               0.008317
                     53,                0.69138,                0.46307,                0.93986,                0.81303,                0.80952,                0.83899,                0.45407,                 1.6955,                0.86792,                 1.6234,               0.008284,               0.008284,               0.008284
                     54,                0.68633,                0.46608,                0.93127,                0.81705,                0.77981,                0.78842,                0.41363,                 1.8853,                 1.0664,                 1.8642,               0.008251,               0.008251,               0.008251
                     55,                0.71248,                0.46501,                0.95561,                0.84356,                0.77038,                0.82657,                0.40792,                 1.7898,                 0.9286,                 1.8129,               0.008218,               0.008218,               0.008218
                     56,                0.68732,                0.46318,                0.94174,                0.80227,                0.79365,                  0.825,                0.42781,                 1.7133,                0.94616,                 1.7142,               0.008185,               0.008185,               0.008185
                     57,                0.66889,                0.43993,                0.93272,                0.77639,                0.77778,                0.78599,                0.39198,                 1.7236,                0.99999,                 1.7104,               0.008152,               0.008152,               0.008152
                     58,                0.69166,                0.45742,                0.93128,                0.78692,                0.77778,                0.79042,                0.40933,                 1.8086,                 0.9342,                 1.6817,               0.008119,               0.008119,               0.008119
                     59,                0.66824,                0.45182,                0.92398,                0.85474,                0.84064,                0.83205,                0.41915,                  1.763,                0.93183,                 1.6152,               0.008086,               0.008086,               0.008086
                     60,                0.67482,                0.44047,                0.93874,                0.83645,                0.81185,                0.82445,                0.41614,                 1.7879,                0.90143,                 1.6992,               0.008053,               0.008053,               0.008053
                     61,                0.68276,                0.44727,                0.93926,                0.84245,                0.80952,                0.82575,                0.43229,                 1.7316,                0.92366,                 1.6749,                0.00802,                0.00802,                0.00802
                     62,                 0.6657,                0.43302,                0.93229,                 0.9326,                0.71429,                0.83827,                0.42959,                 1.7376,                 1.0777,                 1.6415,               0.007987,               0.007987,               0.007987
                     63,                0.65027,                0.43546,                0.92151,                0.83874,                0.73016,                0.75604,                0.40908,                 1.8037,                0.98714,                 1.7006,               0.007954,               0.007954,               0.007954
                     64,                0.63525,                0.42989,                0.91575,                  0.912,                0.82258,                0.83954,                0.43626,                 1.7418,                0.91822,                 1.6521,               0.007921,               0.007921,               0.007921
                     65,                0.63478,                0.42803,                0.91059,                0.86881,                0.84094,                 0.8416,                0.43676,                 1.8276,                0.80657,                 1.7124,               0.007888,               0.007888,               0.007888
                     66,                0.62772,                0.41662,                0.90702,                0.86113,                0.88587,                0.87611,                0.46619,                 1.6823,                0.80475,                 1.5737,               0.007855,               0.007855,               0.007855
                     67,                0.62632,                0.41158,                0.91521,                0.88772,                0.80952,                0.82296,                 0.4266,                 1.7405,                0.84202,                 1.6562,               0.007822,               0.007822,               0.007822
                     68,                0.63692,                0.42743,                0.91936,                0.89836,                 0.8254,                0.88666,                0.45634,                 1.7376,                0.75773,                 1.6807,               0.007789,               0.007789,               0.007789
                     69,                0.64167,                0.42622,                0.92903,                 0.8434,                0.77778,                0.80546,                0.46582,                  1.704,                0.86988,                 1.7039,               0.007756,               0.007756,               0.007756
                     70,                0.62725,                0.40362,                0.90832,                0.89243,                0.80952,                0.80974,                0.42243,                 1.6754,                0.91298,                 1.6421,               0.007723,               0.007723,               0.007723
                     71,                  0.639,                0.41826,                0.92634,                0.83738,                0.79365,                0.81929,                0.41361,                 1.7385,                0.91334,                 1.7619,                0.00769,                0.00769,                0.00769
                     72,                0.62463,                 0.4219,                0.91051,                0.85883,                0.73016,                0.78091,                0.40091,                 1.7876,                0.98061,                 1.6718,               0.007657,               0.007657,               0.007657
                     73,                0.63128,                0.40815,                 0.9199,                0.81175,                0.82141,                0.80972,                0.43333,                 1.7175,                0.83713,                 1.6258,               0.007624,               0.007624,               0.007624
                     74,                0.61825,                0.39849,                0.92336,                0.79575,                 0.7619,                 0.7999,                0.40136,                 1.8485,                0.93267,                 1.7325,               0.007591,               0.007591,               0.007591
                     75,                0.60258,                0.39671,                0.91239,                0.86638,                0.79365,                0.81221,                0.43118,                   1.69,                0.81033,                 1.6872,               0.007558,               0.007558,               0.007558
                     76,                0.62099,                0.40987,                0.92042,                0.75727,                0.79235,                0.77336,                0.42509,                 1.6844,                0.92755,                 1.7529,               0.007525,               0.007525,               0.007525
                     77,                0.60337,                0.39119,                0.90803,                0.82839,                0.66667,                0.75783,                0.41461,                 1.8142,                0.90237,                 1.7828,               0.007492,               0.007492,               0.007492
                     78,                0.58656,                0.39818,                0.90317,                0.85774,                 0.7657,                0.80378,                  0.443,                 1.7614,                0.86152,                 1.7996,               0.007459,               0.007459,               0.007459
                     79,                0.57186,                0.38958,                0.89477,                0.88843,                0.77778,                0.82378,                0.43342,                 1.7361,                0.86389,                 1.7728,               0.007426,               0.007426,               0.007426
